Gender,Age,Level,Programme,CGPA,StrongestArea,WeakestArea,ProgrammingSkill,LanguagesKnown,ProjectsCompleted,Internship,TechnicalInterest,DataTools,Certifications,CareerPath
Male,26–30,300,Computer Science,2.1–3.0,Networking,Programming,Advanced,4+,Yes,No,Web Development,Low,None,Software Developer
Male,16–20,100,Software Engineering,2.1–3.0,AI & Data Science,Cybersecurity,Beginner,2–3,No,Yes,Web Development,Low,3+,Software Developer
Female,21–25,200,Computer Science,3.1–4.0,Programming,Programming,Intermediate,0–1,No,No,Cybersecurity,High,1–2,Cybersecurity Specialist
Female,26–30,100,Information Technology,2.1–3.0,AI & Data Science,Database,Advanced,4+,No,Yes,Web Development,High,None,Software Developer
Male,21–25,100,Computer Science,2.1–3.0,Cybersecurity,Database,Intermediate,4+,No,Yes,Web Development,Moderate,1–2,Software Developer
Male,26–30,200,Software Engineering,4.1–5.0,Networking,Networking,Intermediate,2–3,No,Yes,Mobile Development,High,1–2,IT Support / Systems Administrator
Male,16–20,300,Information Technology,3.1–4.0,Programming,Networking,Advanced,4+,No,Yes,Web Development,High,1–2,Software Developer
Female,16–20,300,Computer Science,2.1–3.0,AI & Data Science,AI & Data Science,Intermediate,4+,No,No,Cybersecurity,Moderate,None,Cybersecurity Specialist
Male,16–20,100,Computer Science,4.1–5.0,Networking,Cybersecurity,Advanced,0–1,No,No,Mobile Development,High,1–2,IT Support / Systems Administrator
Female,26–30,100,Software Engineering,4.1–5.0,Programming,AI & Data Science,Intermediate,4+,No,Yes,Networking,Moderate,1–2,Network Engineer
Male,26–30,300,Software Engineering,2.1–3.0,AI & Data Science,Programming,Advanced,2–3,Yes,Yes,Mobile Development,Moderate,None,IT Support / Systems Administrator
Male,26–30,300,Information Technology,2.1–3.0,Programming,Database,Intermediate,0–1,Yes,Yes,Networking,High,None,Network Engineer
Female,16–20,200,Computer Science,4.1–5.0,Cybersecurity,AI & Data Science,Beginner,2–3,No,Yes,Web Development,High,3+,Software Developer
Female,26–30,300,Information Technology,4.1–5.0,Cybersecurity,Programming,Beginner,0–1,Yes,No,Mobile Development,Low,3+,IT Support / Systems Administrator
Male,26–30,200,Computer Science,2.1–3.0,Programming,Networking,Beginner,0–1,No,Yes,Networking,High,None,Network Engineer
Male,26–30,200,Software Engineering,4.1–5.0,AI & Data Science,Cybersecurity,Beginner,2–3,No,Yes,Data Science,Low,None,Software Developer
Female,21–25,400,Information Technology,4.1–5.0,Programming,Programming,Beginner,2–3,No,Yes,Cybersecurity,Low,None,Cybersecurity Specialist
Male,21–25,200,Information Technology,3.1–4.0,Networking,Programming,Intermediate,4+,Yes,Yes,Mobile Development,High,3+,IT Support / Systems Administrator
Male,16–20,200,Information Technology,3.1–4.0,Cybersecurity,Networking,Intermediate,0–1,Yes,No,Web Development,Low,1–2,Software Developer
Female,21–25,400,Computer Science,2.1–3.0,Database,Networking,Beginner,4+,Yes,No,Data Science,Low,None,Software Developer
Female,26–30,200,Computer Science,4.1–5.0,Programming,Networking,Beginner,4+,Yes,Yes,Networking,Moderate,None,Network Engineer
Male,26–30,100,Software Engineering,2.1–3.0,Cybersecurity,AI & Data Science,Advanced,4+,No,No,Networking,Low,3+,Network Engineer
Female,21–25,200,Software Engineering,4.1–5.0,Database,Cybersecurity,Intermediate,0–1,Yes,No,Data Science,High,3+,Data Analyst / Data Scientist
Male,26–30,200,Software Engineering,3.1–4.0,Networking,Database,Beginner,0–1,No,No,Web Development,Low,1–2,Software Developer
Female,26–30,100,Software Engineering,4.1–5.0,Database,Programming,Beginner,2–3,Yes,Yes,Networking,High,3+,Network Engineer
Female,26–30,200,Software Engineering,3.1–4.0,Networking,Database,Advanced,2–3,No,Yes,Mobile Development,Low,3+,IT Support / Systems Administrator
Female,16–20,100,Information Technology,2.1–3.0,Database,Networking,Advanced,2–3,No,Yes,Cybersecurity,Low,None,Cybersecurity Specialist
Female,26–30,200,Information Technology,2.1–3.0,Programming,Database,Intermediate,0–1,No,Yes,Mobile Development,High,None,Software Developer
Female,26–30,400,Software Engineering,4.1–5.0,Networking,Networking,Beginner,0–1,No,Yes,Web Development,Low,3+,Software Developer
Male,21–25,200,Software Engineering,2.1–3.0,Cybersecurity,Programming,Intermediate,0–1,Yes,No,Data Science,Moderate,1–2,Software Developer
Male,26–30,200,Information Technology,3.1–4.0,Database,Programming,Intermediate,2–3,No,No,Mobile Development,Low,None,Software Developer
Female,16–20,100,Software Engineering,3.1–4.0,Database,Database,Intermediate,4+,Yes,No,Data Science,High,None,Data Analyst / Data Scientist
Female,16–20,200,Information Technology,3.1–4.0,Programming,Database,Advanced,2–3,Yes,No,Data Science,High,1–2,Data Analyst / Data Scientist
Female,21–25,300,Software Engineering,2.1–3.0,Networking,Cybersecurity,Advanced,2–3,Yes,No,Cybersecurity,Moderate,3+,Cybersecurity Specialist
Female,21–25,200,Information Technology,4.1–5.0,AI & Data Science,Database,Intermediate,2–3,No,Yes,Web Development,High,1–2,Software Developer
Female,26–30,300,Computer Science,2.1–3.0,Database,Networking,Beginner,0–1,Yes,Yes,Mobile Development,Low,1–2,Software Developer
Male,21–25,400,Software Engineering,4.1–5.0,Networking,Cybersecurity,Intermediate,2–3,Yes,Yes,Networking,High,3+,Network Engineer
Male,21–25,200,Computer Science,4.1–5.0,AI & Data Science,Cybersecurity,Beginner,4+,Yes,Yes,Web Development,Moderate,None,Software Developer
Female,21–25,400,Software Engineering,3.1–4.0,Networking,Cybersecurity,Intermediate,2–3,Yes,No,Cybersecurity,High,1–2,Cybersecurity Specialist
Female,16–20,300,Computer Science,3.1–4.0,Database,Database,Advanced,0–1,Yes,Yes,Mobile Development,Low,1–2,IT Support / Systems Administrator
Male,21–25,400,Information Technology,4.1–5.0,Cybersecurity,Cybersecurity,Beginner,0–1,No,No,Mobile Development,High,3+,Software Developer
Female,21–25,100,Information Technology,3.1–4.0,Cybersecurity,Cybersecurity,Advanced,4+,Yes,No,Web Development,Low,1–2,Software Developer
Female,16–20,400,Information Technology,4.1–5.0,Cybersecurity,Networking,Intermediate,0–1,Yes,No,Cybersecurity,High,3+,Cybersecurity Specialist
Male,26–30,400,Computer Science,3.1–4.0,Networking,Programming,Intermediate,2–3,No,Yes,Web Development,Moderate,1–2,Software Developer
Female,21–25,300,Computer Science,3.1–4.0,Programming,AI & Data Science,Beginner,2–3,Yes,Yes,Data Science,High,None,Software Developer
